symbol,effective_date,action_type,ratio,source,verified,source_version
NVDA,2021-07-20,SPLIT,4,authoritative_corporate_action_registry_v1,true,authoritative_corporate_action_registry_v1
NVDA,2024-06-10,SPLIT,10,authoritative_corporate_action_registry_v1,true,authoritative_corporate_action_registry_v1
